movie_title,average_score
Adore,49.901785714285715
Adrift,62.35895424836601
Adrift in Manhattan,59.0
Adult Beginners,58.80769230769231
Adult World,54.78260869565217
Advanced Style,69.28571428571429
Adventureland,73.09171597633136
Adventures in Babysitting,65.83333333333333
Adventures in Public School (Public Schooled),59.166666666666664
Adventures of Power,38.0
Adventures of Sebastian Cole,65.0
Adventures of a Teenage Dragonslayer,44.375
Advise and Consent,75.9375
Aeon Flux,40.79113924050633
Afflicted,64.16666666666667
Affliction,72.125
Affluenza,39.05555555555556
Afghan Cycles,72.5
Afghan Star,74.76595744680851
Africa Screams,54.0
Africa: The Serengeti,80.83333333333333
African Cats,62.54032258064516
After,36.70967741935484
After Class (Safe Spaces),70.71428571428571
"After Dark, My Sweet",65.2
After Earth,41.667782240071396
After Everything (Shotgun),71.5
"After Fall, Winter",33.75
After Hours,77.6
After Image,30.0
After Innocence,73.3108108108108
After Louie,63.75
After Love (L'économie du couple),70.84705882352942
After Lucia,90.0
After Midnight (Something Else),73.61538461538461
After Sex,65.0
After Stonewall,62.5
After The Fall,42.857142857142854
After Tiller,71.02222222222223
After We Leave,75.0
After Words,50.0
After the Ball,50.208333333333336
After the Dark,63.92857142857143
After the Storm (Umi yori mo mada fukaku),75.15384615384616
After the Sunset,48.660377358490564
After the Thin Man,72.27777777777777
After the Wedding,59.31428571428572
After.Life,46.45128205128205
Afterglow,65.25
Aftermath,52.455357142857146
Aftermath (Poklosie),70.42380952380952
Afternoon Delight,59.30952380952381
Afternoon of a Faun: Tanaquil Le Clercq,75.76086956521739
Afterschool,63.79629629629629
Aftershock,48.048780487804876
Aftershocks (Tangshan dadizhen),60.0
Afterward,71.66666666666667
Against All Odds,59.285714285714285
Against The Sun,65.57142857142857
Against the Ropes,47.53
Age Of Kill,26.666666666666668
Age of Consent,70.0
Age of Heroes,48.0
Age of Summer,58.125
Age of the Dragons,27.77777777777778
Agent Cody Banks,54.15909090909091
Agent Cody Banks 2: Destination London,39.917808219178085
Agent Vinod,56.42857142857143
Agnes Browne,52.083333333333336
Agnes of God,51.75
Agora,57.76119402985075
"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes)",86.92424242424242
Ai Weiwei: Never Sorry,75.51451612903226
Ai Weiwei: The Fake Case,71.05263157894737
Aida's Secrets,80.0
Aileen Wuornos - The Selling of a Serial Killer,75.0
Aileen: Life and Death of a Serial Killer,68.4090909090909
Ain't In It For My Health: A Film About Levon Helm,72.55
Ain't Them Bodies Saints,70.72
Air,55.4
Air America,42.0
Air Bud,57.857142857142854
Air Bud 2 - Golden Receiver,45.833333333333336
Air Force,70.14285714285714
Air Force One,70.14864864864865
